0.000000000000000000e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
2.000000000000000111e-01 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
4.000000000000000222e-01 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
5.999999999999999778e-01 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
8.000000000000000444e-01 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
1.000000000000000000e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
1.199999999999999956e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
1.400000000000000133e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
1.600000000000000089e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
1.800000000000000044e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
2.000000000000000000e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
2.200000000000000178e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
2.399999999999999911e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
2.600000000000000089e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
2.800000000000000266e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
3.000000000000000000e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
3.200000000000000178e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
3.399999999999999911e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
3.600000000000000089e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
3.800000000000000266e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
4.000000000000000000e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
4.200000000000000178e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
4.400000000000000355e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
4.600000000000000533e+00 nan nan 0.000000000000000000e+00 nan nan 0.000000000000000000e+00
